set,model,val_r2_log,val_r2,val_rmse,val_mae,val_n,test_r2_log,test_r2,test_rmse,test_mae,test_n,secs
plus_sonde,lgb,0.8002365964889742,0.7227105707137558,18.9698311246607,10.45197241347261,8726,0.7614858625098174,0.7235225978293351,14.121092837438658,8.93481438581834,22997,30.753039836883545
plus_cities_pm,lgb,0.8927756858608487,0.8782156535772894,12.571657556212111,7.142913282460295,8726,0.8751969009502973,0.8597711991617016,10.056737127920021,6.442435076970077,22997,64.16961669921875
plus_cities,lgb,0.891598154183135,0.8745251284528996,12.760720242997293,7.215853699575704,8726,0.8742776204511349,0.8559484874166,10.192891460414684,6.472108780990775,22997,44.774287939071655
