set,model,val_r2_log,val_r2,val_rmse,val_mae,val_n,test_r2_log,test_r2,test_rmse,test_mae,test_n,secs
metar_era5,lgb,0.7838687669841526,0.6827571250173198,20.290499866287753,11.153329479597986,8726,0.7480064559362767,0.6957727414655188,14.812813337984062,9.357896848118079,22997,25.40840721130371
metar_era5,mlp,0.7708846947147391,0.7074519040878711,19.484777264671994,11.229092009139121,8726,0.7410662534473345,0.6742006822632057,15.328991148826065,9.604247752909048,22997,11.161044120788574
plus_sonde,lgb,0.793693272162102,0.6951563952884027,19.89002605112182,10.901083035405247,8726,0.7623490218772575,0.72249850109433,14.147221552040548,8.968133253542526,22997,20.401705026626587
plus_sonde,mlp,0.7781454797851314,0.6629515699438469,20.9142821174534,11.285524970392773,8726,0.758400789676012,0.6732888077862038,15.350428192903747,9.273405350652649,22997,9.751591920852661
