lead,r2_log,mae,persistence_r2_log,weather_only_r2_log
1,0.9770424571757248,2.5489140515443194,0.9773707655614842,0.7109196315792259
3,0.9202243976966199,4.6728024957982175,0.8519477416856758,0.7107567974677167
6,0.8516740396447964,6.6098529576483935,0.6077304790564388,0.7107216325325596
12,0.7878655022269353,8.154269536415066,0.18955312109353084,0.7107138552208531
18,0.7592547651770325,8.673960736389516,-0.11030801447716776,0.7104027931313364
24,0.7472533564131907,8.98206691867737,-0.326797511235589,0.7100615762585283
36,0.7270892280848429,9.509728012354653,-0.7326106560099652,0.7102601304956924
48,0.723125078155026,9.664936308190438,-0.8494913702364557,0.710067584970495
72,0.7177707515258509,9.98465466579509,-0.8931083825046133,0.7114532153948181
96,0.7169184984430843,9.944693659949092,-0.8615132541190977,0.7105209880082699
120,0.7171743085110165,9.958820520893276,-0.8247317371575851,0.7103191741250765
