t,start,end,cause,vn,ws,ue,rain,blh_max,blh_before,rh,hour,south_before,south_after
2013-12-08 16:00:00,310.9,107.1,north wind,4.094453728751369,5.1253846153846165,-2.905596256455368,0.0,1230.0,46.42857142857143,46.0,16,,
2013-12-10 16:00:00,69.1,8.8,north wind,5.229204366461075,7.5976923076923075,-5.184569874828341,0.0,2320.0,42.857142857142854,26.384615384615383,16,,
2013-12-12 06:00:00,66.7,21.9,north wind,4.8909566183085325,5.247692307692308,-1.3816357976850275,0.0,2160.0,32.142857142857146,32.46153846153846,6,,
2013-12-14 08:00:00,87.8,29.5,weak north wind,3.4565502871226013,3.6923076923076925,0.16774957390300246,0.0,1175.0,25.0,30.53846153846154,8,,
2013-12-17 09:00:00,190.5,65.6,weak north wind,2.730369338858843,3.548461538461538,2.245271587806442,0.0,1080.0,32.857142857142854,49.0,9,,
2013-12-25 17:00:00,280.3,91.1,north wind,5.084880973693542,6.496923076923077,-3.9661507914179928,0.0,1570.0,74.28571428571429,35.46153846153846,17,,
2013-12-31 12:00:00,99.7,37.7,lid lifted (daytime mixing),1.0991253796865499,5.694615384615385,-5.204917605256176,0.0,2510.0,32.857142857142854,25.46153846153846,12,,
2014-01-03 04:00:00,190.7,47.7,north wind,5.488730990256685,5.706153846153845,-1.3033377186603632,0.0,500.0,35.0,45.69230769230769,4,,
2014-01-05 12:00:00,126.8,47.1,weak north wind,1.903772476845455,3.4315384615384614,0.7556180863532512,0.0,965.0,35.714285714285715,47.30769230769231,12,,
2014-01-07 12:00:00,193.3,56.1,north wind,4.315995994641925,4.499230769230769,0.052493193600755994,0.0,1225.0,29.285714285714285,49.07692307692308,12,,
2014-01-12 00:00:00,174.4,52.8,north wind,3.8393139684681943,5.879999999999999,-2.330983552003301,0.0,225.0,377.85714285714283,35.38461538461539,0,,
2014-01-17 06:00:00,319.1,124.6,unclear,-0.7023722800563588,1.7530769230769228,0.5201372949587745,0.0,1080.0,92.14285714285714,83.3076923076923,6,,
2014-01-19 21:00:00,176.4,44.3,north wind,3.16759623734502,7.253846153846154,-5.479527373264452,0.0,1515.0,596.4285714285714,33.23076923076923,21,,
2014-01-24 15:00:00,223.8,87.3,north wind,4.927034353171384,5.099230769230768,0.32278971724193195,0.0,490.0,34.285714285714285,29.153846153846153,15,,
2014-01-27 18:00:00,136.7,44.7,north wind,4.078326249447071,4.823846153846154,-1.8967368904927433,0.0,770.0,156.42857142857142,29.0,18,,
2014-01-30 05:00:00,210.2,58.0,north wind,4.498686421316541,4.712307692307692,-1.093056371561893,0.0,825.0,30.714285714285715,49.69230769230769,5,,
2014-02-02 11:00:00,159.0,44.4,north wind,5.13177056157678,5.401538461538463,-0.3880123026167812,0.0,1795.0,79.28571428571429,49.53846153846154,11,,
2014-02-08 12:00:00,110.9,34.1,north wind,4.510139361060848,4.786153846153846,-0.932084457158503,0.0,2445.0,188.57142857142858,57.46153846153846,12,,
2014-02-19 12:00:00,87.3,23.9,lid lifted (daytime mixing),1.07601873607671,2.8330769230769235,0.45974795872028246,0.0,1950.0,46.42857142857143,45.30769230769231,12,,
2014-02-26 20:00:00,503.9,131.6,north wind,4.015140796925834,5.315384615384615,-2.7739732385397016,1.5000000000000002,755.0,367.14285714285717,69.84615384615384,20,,
