set,model,val_r2_log,val_r2,val_rmse,val_mae,val_n,test_r2_log,test_r2,test_rmse,test_mae,test_n,secs
metar_hist,ridge,0.6999725988214829,-0.823024737753528,48.63994651225138,14.153897911580245,8726,0.6680610638428466,0.6799477533660181,15.193188574906332,10.04778150366003,22997,0.07246994972229004
metar_hist,lgb,0.7666168742117877,0.7157892225626223,19.20512238384481,10.895307713670583,8726,0.7320956040444417,0.7186854843728244,14.24408508514848,9.296149159467502,22997,10.518426179885864
metar_hist,mlp,0.7658465342570938,0.6682211265339375,20.750146718293312,10.920264295921832,8726,0.7405119118779118,0.7159289717565257,14.31370162204566,9.285575335846987,22997,10.15059208869934
metar_era5,ridge,0.7218501675843925,-0.7829425900349212,48.102260661514606,13.622874177789583,8726,0.611482144195866,0.6142157045898902,16.680565133941286,11.391995134535064,22997,0.09267902374267578
metar_era5,lgb,0.7955546558056145,0.7667338528641123,17.398935006581496,10.006126844701047,8726,0.7148852858318026,0.7296473521706148,13.963805851934094,9.569261942342761,22997,13.617065906524658
metar_era5,mlp,0.7824850555915513,0.7121307560550547,19.32833487062181,10.731921884856746,8726,0.5914259636644402,0.5144755601906622,18.71302665132986,12.768281962597127,22997,9.14291501045227
metar_era5,gru,0.8172272495657422,0.8081831360906244,15.777573094745508,9.25156472429015,8726,0.7333506673903816,0.7495591515126111,13.43974632346429,9.173962607490305,22997,152.215234041214
metar_era5_ar,ridge,0.8144868650078382,0.6763055992386585,20.49577766519434,9.929545004891123,8726,0.7038243545126803,0.8063916450795483,11.816817698594951,8.584123993919071,22997,0.1263728141784668
metar_era5_ar,lgb,0.9896511447744343,0.9834856549864707,4.629429603758766,1.7900521066049764,8726,0.9872639123842295,0.9895635903593116,2.7435573748868753,1.5287381282553896,22997,12.068139791488647
metar_era5_ar,mlp,0.9749813543462255,0.9795283188672548,5.154345922558265,2.2685201572738,8726,0.9674688161314969,0.982213254276585,3.5816796256751258,2.0768914228077215,22997,24.955657958984375
